0113	22	1	200	16000	20000	19.53
0114	32	1	200	16000	20000	20.09
0115	10	5	200	16000	20000	17.22
0115	19	1	200	16000	20000	18.75
0116	31	1	200	16000	20000	18.27
0119	30	1	200	16000	20000	19.41
0120	33	2	200	16000	20000	19.46
0121	09	7	200	16000	20000	16.85
0122	21	2	200	16000	20000	18.14
0122	31	2	200	16000	20000	18.39
0123	29	2	200	16000	20000	19.33
0125	12	5	200	16000	20000	18.65
0125	13	2	200	16000	20000	17.70
0126	09	2	200	16000	20000	16.98
0126	29	3	200	16000	20000	18.05
0128	09	1	200	16000	20000	16.83
0128	09	2	200	16000	20000	17.05
0128	21	1	200	16000	20000	20.26
0129	09	7	200	16000	20000	19.28
0129	16	5	200	16000	20000	16.92
0129	25	1	200	16000	20000	18.50
0129	26	1	200	16000	20000	18.63
0129	26	2	200	16000	20000	19.17
0129	30	2	200	16000	20000	19.07
0130	08	8	200	16000	20000	17.20
0130	15	3	200	16000	20000	17.48
0131	33	2	200	16000	20000	18.49
0133	13	4	200	16000	20000	19.98
0134	18	1	200	16000	20000	17.95
0134	35	1	200	16000	20000	18.01
0135	17	4	200	16000	20000	17.60
0136	06	9	200	16000	20000	17.21
0136	34	1	200	16000	20000	18.38
0139	09	7	200	16000	20000	17.27
0140	15	5	200	16000	20000	18.19
0140	17	2	200	16000	20000	19.45
0140	19	3	200	16000	20000	18.49
0140	28	2	200	16000	20000	18.42
0141	10	2	200	16000	20000	16.68
0142	32	1	200	16000	20000	19.03
0144	16	2	200	16000	20000	18.55
0144	17	4	200	16000	20000	17.96
0144	29	1	200	16000	20000	20.59
0145	19	3	200	16000	20000	19.15
0145	32	2	200	16000	20000	19.14
0146	29	1	200	16000	20000	18.79
0146	33	1	200	16000	20000	18.70
0146	33	2	200	16000	20000	19.51
0147	21	2	200	16000	20000	18.99
0147	29	2	200	16000	20000	18.91
0147	32	2	200	16000	20000	18.52
0148	31	2	200	16000	20000	18.93
0149	17	2	200	16000	20000	19.31
0150	10	2	200	16000	20000	17.25
0151	24	2	200	16000	20000	19.48
0151	28	1	200	16000	20000	19.10
0152	08	2	200	16000	20000	16.28
0152	33	1	200	16000	20000	18.78
0154	31	2	200	16000	20000	19.40
0157	17	1	200	16000	20000	18.87
0157	24	1	200	16000	20000	18.63
0158	31	2	200	16000	20000	18.54
0159	34	2	200	16000	20000	18.14
0160	32	1	200	16000	20000	18.35
0163	34	2	200	16000	20000	18.82
0164	21	4	200	16000	20000	18.35
0166	16	1	200	16000	20000	18.87
0169	09	7	200	16000	20000	17.77
0169	14	2	200	16000	20000	16.88
0169	22	1	200	16000	20000	19.12
0169	28	1	200	16000	20000	21.14
0172	27	1	200	16000	20000	19.11
0173	08	4	200	16000	20000	16.03
0174	31	1	200	16000	20000	18.93
0174	33	3	200	16000	20000	17.99
0175	15	1	200	16000	20000	17.42
0176	27	2	200	16000	20000	19.79
0177	14	3	200	16000	20000	17.97
0178	31	2	200	16000	20000	18.99
0179	11	1	200	16000	20000	16.39
0179	31	1	200	16000	20000	18.69
0182	19	3	200	16000	20000	16.86
0183	12	5	200	16000	20000	14.22
0183	14	5	200	16000	20000	15.22
0183	21	2	200	16000	20000	16.11
0184	29	1	200	16000	20000	17.62
0185	31	2	200	16000	20000	16.39
0185	33	2	200	16000	20000	16.56
0186	08	3	200	16000	20000	14.92
0186	23	2	200	16000	20000	16.91
0187	27	3	200	16000	20000	18.20
0188	07	9	200	16000	20000	14.81
0188	14	5	200	16000	20000	15.97
0189	12	5	200	16000	20000	15.09
0189	20	3	200	16000	20000	17.44
0190	32	2	200	16000	20000	16.93
0192	21	1	200	16000	20000	16.25
0196	12	1	200	16000	20000	15.67
0199	09	1	200	16000	20000	14.73
0199	31	2	200	16000	20000	16.91
0200	31	2	200	16000	20000	16.34
0201	10	2	200	16000	20000	14.05
0203	13	4	200	16000	20000	15.20
0203	19	1	200	16000	20000	16.34
0205	12	5	200	16000	20000	14.42
0205	22	2	200	16000	20000	16.86
0205	28	1	200	16000	20000	16.80
0206	34	2	200	16000	20000	16.88
0207	30	2	200	16000	20000	14.38
0207	31	1	200	16000	20000	16.98
0207	35	1	200	16000	20000	16.60
0210	14	4	200	16000	20000	15.75
0210	32	2	200	16000	20000	16.67
0211	25	2	200	16000	20000	16.69
0212	24	3	200	16000	20000	16.26
0213	22	3	200	16000	20000	16.83
0213	31	2	200	16000	20000	17.27
0214	24	1	200	16000	20000	16.25
0214	29	1	200	16000	20000	17.35
0216	15	1	200	16000	20000	14.02
0216	24	1	200	16000	20000	17.93
0218	16	4	200	16000	20000	15.31
0219	15	5	200	16000	20000	15.87
0219	30	2	200	16000	20000	17.64
0220	21	2	200	16000	20000	17.01
0220	26	3	200	16000	20000	17.37
0221	26	3	200	16000	20000	17.40
0223	14	2	200	16000	20000	14.77
0224	20	2	200	16000	20000	15.52
0227	17	4	200	16000	20000	15.92
0227	20	2	200	16000	20000	15.92
0227	33	1	200	16000	20000	17.00
0230	21	1	200	16000	20000	16.75
0230	28	1	200	16000	20000	18.58
0231	16	4	200	16000	20000	16.35
0232	28	2	200	16000	20000	16.90
