0006	03	2	300	0775	30	2	671.100000	668.10	671.10
0006	05	3	400	0563	32	3	682.660000	680.26	682.66
0006	06	1	200	0129	12	3	694.290000	692.32	694.29
0007	03	4	150	0320	13	3	798.380000	796.37	798.38
0007	04	4	0400	0323	23	2	831.010000	829.07	831.01
0008	02	2	050	0083	22	1	464.590000	462.75	464.59
0008	02	4	250	0767	28	2	467.480000	465.05	467.48
0008	05	3	300	0350	31	4	522.930000	520.89	522.93
0009	01	2	0300	0465	34	2	328.120000	326.07	328.12
0009	08	4	400	0878	33	3	490.990000	488.53	490.99
0010	06	2	200	0387	17	2	431.950000	429.99	431.95
0011	09	1	0050	0060	05	3	584.650000	583.09	584.65
0012	04	3	0400	0149	15	1	356.690000	354.64	356.69
0012	06	1	0400	0159	18	2	363.920000	361.96	363.92
0012	10	2	0100	0615	31	4	381.220000	378.07	381.22
0012	11	1	0050	0083	06	2	392.960000	391.39	392.96
0013	02	1	200	0408	21	1	445.100000	442.37	445.10
0013	07	2	150	0478	20	3	478.440000	476.43	478.44
0013	07	4	100	0296	26	4	487.490000	485.61	487.49
0013	08	3	350	0582	23	3	489.560000	488.86	489.56
0014	01	2	250	0371	27	3	225.390000	223.32	225.39
0014	02	4	0350	0430	30	1	295.310000	295.14	295.31
0014	06	3	0300	0340	35	2	316.940000	314.98	316.94
0015	06	3	0300	0147	29	1	293.430000	291.45	293.43
0015	12	1	100	0794	32	1	316.200000	311.75	316.20
0016	06	4	0350	0081	32	1	286.350000	286.27	286.35
0016	08	2	0250	0341	26	3	288.730000	286.69	288.73
0016	08	3	350	0209	08	1	283.250000	283.14	283.25
0016	09	1	0250	0381	28	3	285.110000	283.12	285.11
0016	14	4	300	0763	27	2	309.420000	307.36	309.42
0017	02	2	200	0316	17	3	275.120000	272.97	275.12
0017	06	3	0200	0485	24	3	223.010000	220.70	223.01
0017	08	1	150	0109	31	4	221.560000	219.71	221.56
0017	14	3	100	0172	27	3	232.980000	231.12	232.98
0018	13	2	150	0173	18	2	271.710000	269.77	271.71
0019	12	3	050	0552	32	3	261.390000	258.65	261.39
0019	13	2	0250	0203	10	3	267.330000	267.33	265.32
0019	17	3	350	0014	04	4	275.510000	275.51	275.51
0020	12	3	300	0692	33	4	246.290000	243.88	246.29
0020	15	4	250	0614	35	4	254.770000	252.42	254.77
0020	19	2	0200	0157	16	1	262.550000	260.65	262.55
0020	20	3	400	0755	27	2	401.020000	258.95	401.02
0020	20	4	150	0337	12	2	262.940000	261.11	262.94
0021	03	4	150	0357	23	4	207.240000	205.24	207.24
0021	11	1	400	0636	24	1	229.050000	226.68	229.05
0021	17	3	0300	0434	31	4	244.920000	243.26	244.92
0021	21	3	150	0018	17	1	254.130000	252.27	254.13
0022	05	2	400	0475	19	3	208.600000	206.65	208.60
0022	11	2	0250	0751	33	1	400.230000	397.68	400.23
0022	17	1	250	0042	14	2	236.800000	235.04	236.80
0022	20	4	100	0410	24	2	238.650000	236.35	238.65
0023	12	3	150	0282	18	4	226.830000	224.82	226.83
0023	19	3	050	0148	33	2	243.710000	241.86	243.71
0023	20	4	150	0105	31	2	241.950000	240.13	241.95
0024	09	2	400	0313	19	1	274.280000	203.14	274.28
0024	15	4	150	0484	18	2	219.260000	216.13	219.26
0024	21	4	400	0029	13	3	229.370000	227.66	229.37
0025	15	4	250	0044	25	3	209.390000	207.53	209.39
0025	24	4	0300	0320	18	2	220.570000	218.32	220.57
0026	11	4	050	0570	28	2	199.430000	197.17	199.43
0026	15	4	400	0212	25	4	inf		
0026	17	1	400	0658	22	1	207.790000	207.47	207.79
0026	25	3	050	0196	27	1	223.300000	221.39	223.30
0027	03	1	400	0068	12	3	163.420000	161.65	163.42
0027	03	4	0100	0161	34	1	163.750000	161.90	163.75
0027	06	4	0300	0371	33	1	171.900000	169.91	171.90
0027	21	3	150	0520	35	1	198.040000	195.71	198.04
0027	25	4	250	0033	13	2	211.380000	209.59	211.38
0028	08	1	250	0537	24	4	173.440000	171.17	173.44
0028	09	3	400	0861	35	3	176.080000	173.33	176.08
0028	11	1	0100	0187	14	3	178.780000	176.93	178.78
0028	13	1	200	0577	28	3	183.750000	181.35	183.75
0028	18	1	200	0423	30	1	187.510000	185.49	187.51
0028	22	4	0150	0330	28	4	195.040000	193.04	195.04
0028	23	1	250	0561	29	1	199.720000	197.22	199.72
0028	24	1	0350	0348	26	4	196.260000	195.92	196.26
0028	28	3	100	0657	32	1	210.440000	208.03	210.44
0029	08	4	0250	0085	22	2	134.250000	132.42	134.25
0029	11	3	050	0192	23	3	139.900000	137.84	139.90
0029	16	1	250	0947	32	3	154.330000	148.90	154.33
0029	21	4	0350	0353	28	4	151.030000	149.87	151.03
0029	22	4	400	0882	31	1	152.900000	150.07	152.90
0029	24	3	050	0073	12	1	158.330000	156.62	158.33
0029	26	3	200	0921	31	3	162.430000	159.95	162.43
0029	27	1	350	0281	35	4	170.290000	169.70	170.29
0030	03	3	050	0608	33	2	154.700000	152.33	154.70
0030	08	4	050	0631	34	1	166.000000	164.00	166.00
0030	16	4	250	0090	22	2	175.940000	173.90	175.94
0030	22	3	0250	0324	15	3	183.460000	179.56	183.46
0030	22	3	250	0224	14	2	183.480000	181.51	183.48
0030	24	1	050	0388	25	4	189.810000	187.41	189.81
0030	27	2	250	0907	34	3	200.780000	198.24	200.78
0031	05	1	350	0676	32	3	124.340000	123.19	124.34
0031	09	3	0200	0274	14	2	129.230000	127.36	129.23
0031	19	4	050	0292	29	4	143.440000	141.54	143.44
0031	21	1	100	0348	30	2	146.710000	144.82	146.71
0031	22	1	0100	0413	22	3	148.000000	145.35	148.00
0031	24	2	350	0472	19	3	152.040000	149.56	152.04
0031	30	2	150	0656	33	1	165.230000	162.33	165.23
0032	04	4	0250	0062	35	1	145.380000	143.54	145.38
0032	08	3	300	0653	27	3	156.570000	153.52	156.57
0032	26	1	300	0653	30	2	248.500000	245.31	248.50
0032	27	2	0200	0223	24	4	192.050000	188.13	192.05
0032	29	1	0200	0143	09	1	195.580000	193.90	195.58
0032	30	4	0250	0178	26	2	190.880000	188.89	190.88
0033	09	1	0250	0161	28	4	149.280000	147.34	149.28
0033	15	4	200	0714	29	4	167.680000	165.07	167.68
0033	19	1	350	0247	18	3	161.210000	160.39	161.21
