02	05	07	32	22	17.450000
02	08	10	32	09	29.720000
02	08	12	16	20	8.800000
02	11	05	08	19	4.350000
02	15	29	24	36	22.300000
02	18	24	08	27	9.280000
02	19	05	24	08	5.440000
02	20	23	28	38	31.200000
02	21	06	32	14	6.760000
02	23	12	20	31	8.870000
02	26	35	04	10	6.590000
02	26	35	32	40	29.310000
02	27	30	32	35	32.980000
02	28	17	12	18	5.910000
02	28	22	16	11	8.150000
02	28	31	16	03	22.090000
02	30	04	32	08	7.800000
02	30	08	20	24	4.430000
03	04	04	32	38	24.300000
03	11	07	08	39	8.470000
03	14	31	28	13	28.820000
03	14	34	32	21	35.100000
03	15	04	20	37	5.180000
03	21	23	24	27	13.040000
03	22	04	24	01	6.470000
03	22	06	28	39	5.570000
03	23	35	12	26	6.070000
03	26	13	24	08	4.930000
03	28	30	28	03	11.920000
03	29	04	04	13	2.380000
03	30	06	12	07	3.820000
03	30	09	12	25	4.100000
03	30	21	20	34	11.800000
03	31	15	08	01	2.650000
04	04	07	24	19	27.650000
04	04	09	16	14	8.010000
04	06	18	08	19	13.520000
04	07	05	16	20	4.840000
04	09	22	20	39	25.230000
04	12	12	12	30	9.330000
04	12	24	32	40	39.010000
04	13	06	20	21	4.430000
04	15	03	32	10	8.990000
04	15	26	08	37	17.610000
04	18	14	20	17	7.150000
04	20	33	24	13	24.590000
04	21	09	04	12	2.020000
04	22	31	20	19	21.440000
04	24	07	08	16	2.660000
04	24	18	24	04	9.010000
04	29	12	12	01	2.800000
04	30	28	08	28	4.250000
04	32	24	04	25	3.170000
05	10	15	24	37	11.280000
05	10	29	04	21	6.670000
05	11	14	28	02	7.640000
05	13	18	32	30	13.840000
05	13	29	20	27	19.970000
05	14	31	20	28	8.740000
05	15	26	24	32	9.260000
05	16	16	12	20	8.190000
05	19	34	08	15	6.870000
05	22	21	12	28	3.450000
05	22	25	28	25	8.920000
05	22	32	24	36	8.710000
05	28	22	24	19	9.240000
05	30	15	20	21	5.620000
05	30	33	04	35	3.930000
05	31	28	20	33	7.290000
06	04	06	28	35	15.990000
06	07	33	04	29	6.580000
06	07	34	08	08	9.730000
06	12	32	04	03	4.470000
06	14	14	32	31	10.740000
06	14	28	28	38	33.200000
06	15	11	12	40	3.130000
06	16	17	28	34	11.610000
