00500	00625	054	31	3	0400	661	29	4	9.570000	7.67	9.57
00500	00625	057	21	4	0150	109	35	4	6.750000	4.86	6.75
00500	00625	063	32	4	0250	605	32	2	12.070000	7.81	12.07
00500	00625	086	07	4	0200	142	30	3	5.170000	3.23	5.17
00500	00625	089	09	1	0350	353	23	3	6.810000	3.81	6.81
00500	00625	168	35	2	0200	191	09	2	6.450000	4.76	6.45
00500	00625	183	17	2	0200	318	26	1	6.830000	4.99	6.83
00500	00625	207	24	4	0100	045	15	2	12.260000	10.44	12.26
00500	00625	238	27	3	0350	231	34	2	166.080000	166.08	4.53
00500	00625	259	28	4	0300	199	27	3	4.540000	2.88	4.54
00500	00625	337	32	4	0400	132	19	3	inf		
00500	00625	386	34	2	0250	370	21	3	inf		
00500	00625	417	16	1	0250	043	09	4	9.320000	7.73	9.32
00500	00625	420	26	1	0350	220	22	3	9.660000	7.88	9.66
00500	00625	487	29	4	0150	069	06	3	inf		
00500	00625	514	32	3	0250	221	27	1	inf		
00500	00625	727	28	3	0350	070	21	3	inf		
00500	01250	029	10	4	0300	304	18	2	9.040000	7.85	9.04
00500	01250	036	09	1	0400	366	34	2	10.110000	8.52	10.11
00500	01250	053	25	1	0200	044	17	4	9.560000	7.92	9.56
00500	01250	055	11	4	0250	269	34	3	8.580000	6.62	8.58
00500	01250	104	06	3	0050	203	16	4	161.810000	159.92	161.81
00500	01250	134	11	4	0050	444	24	2	15.180000	13.28	15.18
00500	01250	139	29	3	0050	088	18	2	13.220000	11.22	13.22
00500	01250	141	10	4	0250	077	24	2	11.910000	10.07	11.91
00500	01250	165	19	3	0100	109	19	1	12.440000	10.60	12.44
00500	01250	179	27	3	0100	262	20	1	inf		
00500	01250	202	34	1	0100	426	18	2	149.770000	16.31	149.77
00500	01250	255	12	3	0250	026	17	3	8.540000	6.73	8.54
00500	01250	418	29	3	0150	370	32	3	10.270000	8.43	10.27
00500	01250	436	22	2	0050	282	27	3	10.780000	8.89	10.78
00500	01250	439	21	3	0100	123	21	4	inf		
00500	01250	466	34	3	0050	112	22	1	inf		
00500	01250	490	34	2	0400	112	21	2	10.810000	9.02	10.81
00500	01250	491	33	1	0400	157	26	1	inf		
00500	01250	550	22	3	0350	015	05	2	9.680000	8.18	9.68
00500	01250	856	33	2	0350	166	31	1	11.670000	9.88	11.67
00500	02500	032	17	1	0100	807	28	1	18.610000	16.64	18.61
00500	02500	059	28	2	0350	064	34	4	12.950000	11.47	12.95
00500	02500	087	10	4	0300	498	34	4	11.190000	8.30	11.19
00500	02500	088	16	2	0400	444	27	3	10.820000	7.65	10.82
00500	02500	153	09	1	0050	118	16	2	34.920000	33.01	34.92
00500	02500	154	34	2	0250	556	34	1	10.180000	8.26	10.18
00500	02500	170	34	2	0400	297	19	3	7.390000	5.47	7.39
00500	02500	174	22	4	0400	390	24	3	13.160000	11.26	13.16
00500	02500	189	17	3	0100	249	17	2	19.210000	16.25	19.21
00500	02500	195	17	2	0350	439	27	3	11.800000	9.93	11.80
00500	02500	245	24	2	0150	052	34	3	10.840000	8.89	10.84
00500	02500	257	25	1	0200	025	10	4	inf		
00500	02500	426	29	4	0200	027	18	2	16.120000	14.34	16.12
00500	02500	434	23	3	0200	031	12	2	10.960000	8.99	10.96
00500	02500	452	32	4	0250	156	16	2	16.000000	14.16	16.00
00500	05000	023	23	4	0300	319	22	4	40.880000	39.63	40.88
00500	05000	043	27	4	0150	717	34	1	23.330000	21.34	23.33
00500	05000	050	19	2	0400	655	23	1	17.820000	16.54	17.82
00500	05000	064	03	3	0150	191	28	4	15.020000	13.13	15.02
00500	05000	092	17	2	0300	478	21	3	12.020000	10.07	12.02
00500	05000	115	11	4	0050	454	29	2	33.450000	31.36	33.45
00500	05000	125	32	3	0100	132	31	4	21.470000	19.49	21.47
00500	05000	177	34	3	0300	101	32	4	13.990000	12.03	13.99
00500	05000	182	24	4	0400	304	30	1	11.880000	8.89	11.88
00500	05000	196	21	3	0200	084	21	3	16.550000	14.69	16.55
00500	05000	286	19	1	0200	224	15	4	12.260000	10.51	12.26
00500	05000	404	34	3	0050	297	18	4	15.490000	13.66	15.49
00500	05000	427	22	1	0250	117	26	3	12.860000	10.97	12.86
00500	05000	431	23	3	0300	271	24	2	inf		
00500	05000	818	35	3	0200	192	30	4	inf		
00500	10000	010	03	4	0350	378	26	3	123.850000	121.84	123.85
00500	10000	089	12	2	0250	684	32	1	24.240000	22.17	24.24
00500	10000	118	35	1	0050	071	05	4	56.960000	55.43	56.96
00500	10000	126	29	1	0350	665	33	4	18.400000	16.28	18.40
00500	10000	146	09	3	0150	457	32	1	37.150000	34.01	37.15
00500	10000	182	14	4	0100	404	32	2	54.550000	52.50	54.55
00500	10000	206	32	4	0400	465	23	1	20.130000	18.21	20.13
00500	10000	224	18	3	0350	281	17	3	25.640000	23.83	25.64
00500	10000	347	24	1	0100	055	06	4	inf		
00500	10000	384	26	1	0250	202	35	2	16.610000	14.67	16.61
00500	10000	437	23	3	0150	050	05	2	15.790000	14.30	15.79
00500	10000	505	35	1	0250	040	29	4	20.430000	18.75	20.43
00500	20000	038	16	4	0350	158	06	1	65.130000	63.59	65.13
00500	20000	042	10	3	0300	158	06	3	72.600000	70.94	72.60
00500	20000	089	27	4	0150	027	11	4	53.090000	51.40	53.09
00500	20000	099	20	4	0350	245	28	2	47.040000	43.75	47.04
00500	20000	115	15	1	0050	391	17	3	101.250000	99.44	101.25
00500	20000	138	14	1	0100	095	30	3	57.070000	55.29	57.07
00500	20000	138	23	1	0250	241	21	3	32.430000	30.28	32.43
00500	20000	202	32	2	0100	063	26	1	99.400000	97.66	99.40
