4	2	406	15	512	500	746.42	746.42	734.16	720.38	728.04
4	4	25	12	512	500	754.92	754.92	754.20	740.40	740.58
4	4	136	12	512	500	759.22	759.22	754.86	742.54	744.79
6	4	341	22	512	500	547.60	547.60	536.85	524.19	531.26
6	6	214	24	512	500	564.98	564.98	557.12	544.30	547.74
7	5	161	9	512	500	492.91	492.91	487.46	474.42	476.71
8	2	216	14	512	500	381.16	381.16	377.34	364.22	367.89
9	6	307	32	512	500	410.51	410.51	400.17	388.35	395.04
10	10	147	17	512	500	372.86	372.86	367.99	355.47	357.51
11	2	72	18	512	500	308.67	308.67	306.86	294.02	294.47
12	3	96	4	512	500	279.03	279.03	277.68	264.99	266.31
12	9	459	25	512	500	315.42	315.42	305.28	292.91	300.15
13	5	355	26	512	500	307.66	307.66	295.45	284.56	291.02
13	6	418	32	512	500	308.35	308.35	293.86	281.85	288.71
13	7	214	22	512	500	307.09	307.09	299.03	287.54	290.19
13	7	465	34	512	500	320.68	320.68	303.55	291.38	297.92
13	13	178	10	512	500	316.96	316.96	308.01	295.90	299.06
14	4	379	15	512	500	274.38	274.38	261.48	249.78	255.18
14	5	67	14	512	500	267.11	267.11	265.17	252.09	252.32
14	5	221	29	512	500	275.73	275.73	267.99	255.01	257.66
15	2	331	31	512	500	244.18	244.18	233.19	221.84	225.54
15	4	137	9	512	500	250.88	250.88	249.73	237.08	239.13
16	10	273	28	512	500	243.63	243.63	234.40	223.27	230.24
16	16	30	21	512	500	241.26	241.26	240.57	227.84	227.45
17	11	470	17	512	500	268.57	268.57	247.60	234.22	241.06
17	14	439	21	512	500	267.84	267.84	246.51	234.17	240.61
18	17	75	34	512	500	222.38	222.38	220.61	208.95	209.26
19	3	119	18	512	500	207.28	207.28	204.26	192.47	193.12
19	4	228	24	512	500	215.71	215.71	208.24	195.40	197.77
19	4	327	33	512	500	219.93	219.93	209.43	199.75	205.58
19	6	85	17	512	500	229.06	229.06	226.33	213.69	213.51
19	10	456	34	512	500	242.98	242.98	222.57	210.38	216.28
19	17	111	22	512	500	230.31	230.31	224.81	213.31	213.34
